EMD_NM,버스정거장개수,버스노선개수,지하철역개수
가야동,292,19,2
감만동,176,10,0
감전동,356,26,1
감천동,337,17,0
강동동,362,13,0
개금동,486,30,1
거제동,694,33,3
광안동,441,25,4
괘법동,296,26,1
괴정동,516,22,3
구랑동,80,9,0
구서동,344,14,2
구평동,270,12,0
구포동,627,32,3
금곡동,336,9,2
금사동,152,11,1
금성동,48,2,0
기장읍,1682,27,0
낙민동,192,24,1
남부민동,308,14,0
남산동,274,15,1
남천동,191,18,2
남포동1가,51,25,1
남포동4가,108,27,0
남포동5가,108,27,0
남포동6가,25,12,1
남항동1가,26,9,0
남항동2가,32,9,0
남항동3가,16,1,0
노포동,182,15,1
녹산동,174,13,0
눌차동,18,1,0
다대동,732,13,3
당감동,462,18,0
당리동,200,13,1
대교동1가,76,18,0
대교동2가,56,16,0
대연동,963,35,3
대저1동,472,18,3
대저2동,357,6,0
대창동1가,48,24,0
대창동2가,34,17,0
대청동1가,1,0,0
대청동2가,12,4,0
대청동3가,10,3,0
대청동4가,32,5,0
대평동1가,10,1,0
대평동2가,4,1,0
대항동,36,2,0
덕천동,468,23,4
덕포동,310,18,2
동광동1가,38,19,0
동광동3가,12,6,0
동광동5가,14,3,0
동대신동1가,62,17,0
동대신동2가,62,11,1
동대신동3가,144,21,0
동삼동,799,17,0
동선동,20,3,0
두구동,118,7,0
만덕동,478,18,1
망미동,298,17,0
명륜동,300,31,0
명장동,294,14,1
명지동,1376,29,0
모라동,486,20,1
문현동,328,26,3
미음동,130,9,0
민락동,208,16,1
반송동,258,10,2
반여동,620,21,0
범방동,174,9,0
범일동,552,49,1
범전동,148,35,0
범천동,408,44,2
보수동1가,70,12,0
보수동2가,18,9,0
복천동,82,7,0
봉래동1가,2,1,0
봉래동2가,22,6,0
봉래동3가,32,13,0
봉래동4가,72,14,0
봉래동5가,74,15,0
봉림동,170,9,0
부곡동,328,15,0
부민동1가,18,5,0
부민동2가,1,0,0
부민동3가,28,2,0
부암동,294,25,0
부용동1가,16,8,0
부용동2가,20,10,0
부전동,624,56,3
부평동1가,4,2,0
부평동2가,29,13,0
부평동3가,22,11,0
부평동4가,2,1,0
사직동,512,26,1
삼락동,118,8,0
생곡동,226,9,0
서대신동1가,56,16,0
서대신동2가,126,20,1
서대신동3가,198,22,0
서동,200,14,1
석대동,252,13,2
선동,34,2,0
성북동,170,6,0
송정동,1036,38,0
수안동,108,21,1
수영동,102,19,0
수정동,416,33,1
식만동,48,2,0
신선동1가,44,7,0
신선동2가,82,7,0
신선동3가,90,11,0
신평동,454,17,2
신호동,310,18,0
아미동1가,24,11,0
아미동2가,168,10,0
안락동,398,30,1
암남동,385,14,0
양정동,408,35,1
엄궁동,262,11,0
연산동,1080,34,5
연지동,144,13,0
영선동1가,34,14,0
영선동2가,54,7,0
영선동3가,56,11,0
영선동4가,135,12,0
영주동,166,14,0
오륜동,30,1,0
온천동,894,43,6
용당동,214,13,0
용호동,457,10,0
우동,795,30,4
우암동,194,10,0
일광읍,550,10,0
장림동,611,22,2
장안읍,547,11,0
장전동,530,23,2
재송동,494,19,0
전포동,424,26,1
정관읍,1394,15,0
좌동,629,24,1
좌천동,180,35,1
주례동,708,31,2
죽동동,6,2,0
죽림동,66,5,0
중동,420,20,1
중앙동3가,50,25,0
중앙동4가,146,25,1
중앙동6가,115,29,0
중앙동7가,32,16,0
지사동,448,8,0
천성동,152,3,0
철마면,340,14,2
청룡동,102,17,1
청학동,366,21,0
초량동,683,38,2
초읍동,260,10,0
초장동,36,8,0
충무동1가,94,27,0
칠산동,24,3,0
토성동3가,16,6,1
토성동4가,48,19,0
토성동5가,14,7,0
하단동,546,32,1
학장동,336,16,0
화명동,404,12,3
화전동,144,18,0
회동동,114,7,0
